Row	Date
1	2011-08-24
2	1977-02-26
3	1997-05-23
4	1985-01-01
5	1978-05-18
6	1991-10-29
7	1977-08-21
8	2011-01-24
9	1975-04-08
10	1989-04-16
11	1983-01-01
12	1977-01-01
13	2012-09-13
14	1974-08-29
15	1995-09-02
16	2011-08-01
17	1993-03-18
18	1993-05-13
19	1989-12-01
20	1997-01-01
21	1987-01-01
22	1979-07-06
23	1985-10-15
24	1982-05-26
25	1976-11-20
26	1997-08-16
27	1989-01-06
28	1989-06-08
29	1976-07-12
30	1979-02-12
31	1977-08-30
32	1985-01-06
33	1973-01-01
34	2006-09-19
35	1976-06-25
36	1974-01-24
37	1983-05-10
38	1979-08-17
39	1980-01-02
40	1989-08-01
41	1973-02-01
42	2004-09-10
43	2005-01-01
44	1977-08-01
45	1975-02-28
46	1995-03-01
47	1992-01-01
48	2006-01-01
49	1996-01-01
50	1995-11-24
51	1971-09-03
52	1978-03-12
53	1983-04-08
54	1991-11-07
55	2005-01-01
56	1989-07-25
57	1991-10-01
58	1971-08-30
59	1985-07-02
60	1999-01-01
61	2004-01-01
62	2007-01-01
63	2011-01-01
64	1990-06-08
65	1974-04-23
66	1916-64-01
67	1980-08-05
68	1975-07-07
69	1990-07-11
70	1973-01-01
71	1974-02-17
72	2012-08-01
73	1987-03-18
74	1983-12-02
75	1984-05-03
76	2009-01-01
77	2002-01-01
78	1984-01-01
79	1992-09-29
80	1986-10-13
81	1984-09-23
82	1990-12-08
83	1979-01-01
84	1980-03-18
85	1983-08-06
86	2002-01-01
87	1996-06-03
88	1985-06-18
89	1975-05-18
90	1973-06-01
91	1998-06-01
92	1998-10-15
93	2007-12-10
94	2009-01-01
95	1987-07-02
96	2008-01-14
97	1992-11-17
98	1995-08-18
99	1972-07-08
100	1999-01-01
101	2010-08-01
102	1976-08-12
103	1975-09-01
104	1988-06-16
105	1994-03-22
106	1983-01-01
107	1993-07-21
108	1986-08-01
109	1973-07-01
110	1980-11-13
111	1986-03-13
112	1991-06-08
113	1985-01-09
114	1974-01-01
115	2003-01-01
116	1990-02-03
117	1976-09-05
118	2012-01-01
119	1981-03-26
120	1982-09-22
121	1973-03-03
122	1991-05-18
123	1999-07-21
124	1991-09-11
125	1987-06-18
126	2004-01-01
127	1978-12-31
128	2005-01-01
129	1993-10-01
130	1971-03-10
131	1982-11-01
132	1999-01-01
133	1984-01-01
134	1992-08-08
135	2012-01-01
136	1980-03-12
137	1986-01-01
138	1930-15-01
139	1999-10-18
140	2008-02-09
141	2003-10-06
142	1998-06-12
143	1986-01-01
144	1995-05-12
145	1979-06-10
146	2011-01-01
147	1982-12-29
148	2015-01-01
149	2010-10-01
150	2011-12-01
151	1987-10-11
152	1975-10-16
153	2010-01-28
154	1981-01-01
155	1991-09-01
156	1995-10-06
157	1998-11-30
158	1971-05-24
159	2007-01-01
160	1974-05-27
161	1989-08-26
162	2001-01-01
163	1997-07-13
164	1997-11-06
165	1980-07-29
166	1973-04-18
167	1981-05-14
168	2011-07-20
169	1977-02-06
170	1976-10-01
171	1974-07-06
172	1975-05-07
173	2010-05-04
174	1984-07-30
175	2001-05-30
176	2013-09-28
177	1977-05-01
178	1988-11-09
179	1992-01-01
180	1987-03-28
181	1991-03-02
182	2006-08-26
183	1980-02-07
184	2002-06-01
185	1984-01-12
186	1992-01-01
187	1986-10-04
188	1988-04-28
189	1981-04-05
190	1994-11-24
191	2010-01-01
192	1991-01-01
193	1985-06-21
194	1985-10-17
195	1982-02-28
196	1983-07-04
197	1995-03-01
198	1999-01-01
199	1983-01-01
200	1994-05-09
201	1988-12-04
202	1980-03-01
203	1978-01-01
204	1989-09-05
205	1972-04-01
206	1992-07-26
207	2002-06-02
208	1981-11-17
209	1986-01-18
210	1994-01-01
211	1981-12-10
212	1988-08-03
213	1985-05-11
214	1979-10-06
215	1982-05-02
216	2012-09-22
217	1975-01-01
218	1999-01-01
219	1985-07-13
220	1983-01-20
221	1998-10-17
222	1979-10-01
223	1982-08-15
224	1978-12-01
225	1985-11-14
226	1981-07-09
227	1998-01-01
228	2014-01-01
229	1974-09-20
230	1976-10-13
231	1978-10-21
232	1971-06-12
233	1981-12-23
234	1994-04-22
235	1992-02-08
236	1989-01-01
237	1984-09-05
238	1982-07-17
239	1988-09-09
240	1993-11-19
241	1998-05-25
242	1978-10-16
243	1997-01-19
244	1973-06-18
245	2010-05-26
246	2007-01-01
247	1972-07-25
248	1986-04-18
249	1980-10-17
250	1997-12-10
251	2001-11-17
252	1985-04-26
253	1988-12-22
254	1973-01-01
255	1996-02-23
256	1981-11-09
257	1999-06-02
258	1992-01-01
259	1980-08-29
260	1984-04-19
261	1983-03-20
262	1974-05-04
263	2006-06-01
264	2002-01-01
265	1992-01-01
266	1978-10-01
267	1994-06-12
268	1989-01-19
269	1972-08-28
270	1991-10-12
271	1975-08-18
272	1991-08-01
273	1981-06-01
274	1978-01-01
275	1994-09-09
276	1987-06-24
277	1981-09-19
278	1998-04-08
279	2004-01-01
280	1997-01-01
281	2003-08-01
282	1985-01-31
283	1981-06-01
284	1987-09-22
285	1981-11-02
286	2010-01-01
287	1990-01-18
288	1978-09-08
289	2011-11-20
290	2014-01-01
291	1986-01-17
292	2013-01-01
293	1983-12-13
294	1992-05-19
295	1980-11-27
296	2003-01-01
297	1971-05-17
298	1987-01-01
299	1995-03-14
300	1981-01-01
301	1997-10-11
302	2001-01-31
303	1998-01-01
304	1995-01-01
305	1988-07-01
306	2006-06-10
307	2014-12-01
308	2007-12-01
309	1973-12-01
310	1995-03-16
311	1979-04-01
312	1992-04-05
313	1990-07-08
314	2014-06-20
315	1978-01-01
316	1991-01-01
317	1980-12-16
318	1996-01-22
319	1992-07-17
320	1994-11-03
321	1971-11-27
322	1995-08-02
323	1974-03-05
324	2010-12-05
